date;season_year;season;competition;round;tournament;formula;fl_tds;notes
17/09/2018;2018-19;1;MN;1;MONDAY CUP;501 FS;0;Prima giornata Regular Season
24/09/2018;2018-19;1;MN;2;MONDAY CUP;501 FS;0;
01/10/2018;2018-19;1;MN;3;MONDAY CUP;501 FS;0;
08/10/2018;2018-19;1;MN;4;MONDAY CUP;501 FS;0;
15/10/2018;2018-19;1;;;MIND THE PAIR;501 FS;0;Buono spesa DartsCorner
22/10/2018;2018-19;1;MN;5;MONDAY CUP;501 FS;1;
29/10/2018;2018-19;1;MN;6;MONDAY CUP;301 DIDO;1;
05/11/2018;2018-19;1;MN;7;MONDAY CUP;501 FS;1;
12/11/2018;2018-19;1;MN;8;MONDAY CUP;501 FS;1;
19/11/2018;2018-19;1;MN;9;MONDAY CUP;501 FS;1;
26/11/2018;2018-19;1;;;MIND THE PAIR;501 FS;0;Buono spesa DartsCorner
03/12/2018;2018-19;1;MN;10;MONDAY CUP;501 FS;0;
10/12/2018;2018-19;1;MN;11;MONDAY CUP;501 FS;1;Buono spesa DartsCorner
07/01/2019;2018-19;1;MN;12;MONDAY CUP;501 FS;1;
14/01/2019;2018-19;1;MN;13;MONDAY CUP;301 DIDO;1;
21/01/2019;2018-19;1;MN;14;MONDAY CUP;501 FS;1;
28/01/2019;2018-19;1;;;MIND THE PAIR;501 FS;0;Buono spesa DartsCorner
04/02/2019;2018-19;1;MN;15;MONDAY CUP;501 FS;1;
11/02/2019;2018-19;1;MN;16;MONDAY CUP;501 FS;0;
18/02/2019;2018-19;1;MN;17;MONDAY CUP;501 FS;1;
25/02/2019;2018-19;1;MN;18;MONDAY CUP;301 DIDO;1;
04/03/2019;2018-19;1;MN;19;MONDAY CUP;501 FS;1;
11/03/2019;2018-19;1;;;MIND THE PAIR;501 FS;0;Buono spesa DartsCorner
18/03/2019;2018-19;1;MN;20;MONDAY CUP;501 FS;1;
25/03/2019;2018-19;1;MN;21;MONDAY CUP;501 FS;0;
01/04/2019;2018-19;1;MN;22;MONDAY CUP;501 FS;1;
08/04/2019;2018-19;1;MN;23;MONDAY CUP;501 FS;1;Buono spesa DartsCorner
15/04/2019;2018-19;1;MN;24;MONDAY CUP;501 FS;1;
29/04/2019;2018-19;1;MN;25;MONDAY CUP;301 DIDO;1;
06/05/2019;2018-19;1;MN;26;MONDAY CUP;501 FS;1;
13/05/2019;2018-19;1;;;MIND THE PAIR;501 FS;0;Buono spesa DartsCorner
20/05/2019;2018-19;1;MN;27;MONDAY CUP;501 FS;1;
27/05/2019;2018-19;1;MN;28;MONDAY CUP;301 DIDO;1;
03/06/2019;2018-19;1;MN;29;MONDAY CUP;501 FS;0;
10/06/2019;2018-19;1;MN;30;MONDAY CUP;501 FS;0;Ultima giornata Regular Season
17/06/2019;2018-19;1;;;FINALI MONDAY CUP;501 FS;0;Fase a Gironi
24/06/2019;2018-19;1;;;FINALI MONDAY CUP;501 FS;0;Finalissima
